between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
265.08542936467734,4,2.2583401816237516,0.4167457762473934,eligible,23,1.0,2,905.5860278457402,s3,0.4065933512258386,651.9669555869646
318.2311443065711,5,2.789296195273501,0.4596498798791899,eligible,23,1.0,2,1074.927825728607,s3,0.4130011538620517,770.533305601211
321.2399672186915,6,2.8177797654013674,0.4561486183783951,eligible,23,1.0,2,1075.195844653092,s3,0.41829145134091633,767.9811915464925
322.37549014947297,7,2.859823568288016,0.45564980200550004,eligible,23,1.0,2,1075.7089454665884,s3,0.42007285392514665,767.4275715105284
321.67749222193555,8,2.9076825986639885,0.44520847002276664,eligible,23,1.0,2,1075.6753737758718,s3,0.41882469343639905,768.0480574782439
323.24957238215154,9,2.945782996146088,0.4266579406548214,eligible,23,1.0,2,1087.449991908607,s3,0.415337791762195,778.2811455863792
319.23509053307885,10,2.983122179883259,0.4124854293945793,eligible,23,1.0,2,1085.9071990125663,s3,0.4090093721887399,780.5080084611747
319.3075519038284,11,3.0770523855213194,0.3996303995032752,eligible,23,1.0,2,1096.699627931289,s3,0.4035893375059205,791.1694443491298
315.41157071945804,12,3.1032348771439406,0.39312524444124414,eligible,23,1.0,2,1095.747430880758,s3,0.3973076203551399,793.8724417959796
1.5449016902116002,0,20.337189626575796,-0.04295096783832024,eligible,23,0.8235294117647058,3,59.225303480404584,s3,0.026946578076452454,57.33201765207296
3.12092434827891,1,1.4857362216184347,-0.03425128996351193,eligible,23,0.5294117647058824,3,325.8020144684988,s3,0.00972964059449472,320.7646076821699
3.724301452254262,2,1.2712463104146685,-0.03502477622737223,eligible,23,0.5294117647058824,3,542.7217957266027,s3,0.006950852196169523,535.8050131230157
16.68690832441946,3,2.2401132847042864,-0.023378421574857092,eligible,23,0.5294117647058824,3,858.4491637709584,s3,0.019943418124671472,836.7125544831804
16.32494891339039,4,2.2145933264357858,-0.024063194040973124,eligible,23,0.5294117647058824,3,892.2841880931937,s3,0.018748997227903453,870.7105086616083
331.24490659363687,5,3.1751413638484687,0.4396157836554554,eligible,23,1.0,3,1248.9058711541832,s3,0.3638796496709348,910.31445943611
321.8340649922027,6,3.217446780347075,0.41780339731921257,eligible,23,1.0,3,1231.1727701906507,s3,0.3567623425577465,902.0965124326207
338.36891411191516,7,3.2490319395171072,0.43965676785927704,eligible,23,1.0,3,1238.95077192922,s3,0.3787878877542606,893.2939121000743
330.2219363437181,8,3.2733032491048606,0.42194929650863283,eligible,23,1.0,3,1229.4813185524426,s3,0.37019270136956184,892.0271391584163
330.6866381273168,9,3.280960911815079,0.41609568634881333,eligible,23,1.0,3,1234.9586359209081,s3,0.36865536256513043,897.0075352293507
320.47115210484407,10,3.2976775687268374,0.40027635255693944,eligible,23,1.0,3,1226.4488943246024,s3,0.35656900868430574,898.7633369590255
320.21888749831,11,3.339201268859262,0.39799200681385133,eligible,23,1.0,3,1229.6606648178322,s3,0.35492781861941697,902.2084792911821
317.4247999539925,12,3.3501112759767113,0.3944587598292181,eligible,23,1.0,3,1225.147786717681,s3,0.35249203466418966,900.5162350771137
